citekey,title,authors,year,venue,doi,technique,phase,individually_discussed
aiops-rca-ce2025,AIOps for Reliability: Evaluating Large Language Models for Automated Root Cause Analysis in Chaos Engineering,"Szanda\la, Tomasz",2025,Lecture Notes in Computer Science,10.1007/978-3-031-97564-6_25,NLP/LLM,Analysis,True
aiopslab-autonomous-clouds2024,Building AI Agents for Autonomous Clouds: Challenges and Design Principles,"Shetty, Manish and Chen, Yinfang and Somashekar, Gagan and Ma, Minghua and Simmhan, Yogesh and Zhang, Xuchao and Mace, Jonathan and Vandevoorde, Dax and Las-Casas, Pedro and Gupta, Shachee Mishra and Nath, Suman and Bansal, Chetan and Rajmohan, Saravan",2024,arXiv preprint,10.48550/arXiv.2407.12165,NLP/LLM,Execution,False
applying-ml-ce2020,Applying Machine Learning with Chaos Engineering,"Hernandez-Serrato, Juan and Velasco, Alejandro and Nino, Yury and Linares-V\'asquez, Mario",2020,2020 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),IEEE Xplore document 9307734,General,General/position,False
arm-llm-remediation2025,ARM: Autonomous Remediation and Management with LLM Agents for Intent-Driven Control,"Avgerinos, Vasilis and Ramantas, Kostas and Alonso, Luis and Verikoukis, Christos",2026,IEEE Internet of Things Journal,10.1109/JIOT.2025.3648858,NLP/LLM,Remediation,True
chaosapi2026,Enhancing API Testing Through Genetic Algorithm-Based Chaos Engineering,"Ait Said, Mehdi and Belouaddane, Lahcen and Soukaina, Mihi and Abdellah, Ezzati and Brahim, Zraibi",2026,Artificial Intelligence and Cognitive Sciences for Emerging Technologies (LNNS),10.1007/978-3-032-14430-0_39,Genetic/Evolutionary,Design,True
chaoseater2025,LLM-Powered Fully Automated Chaos Engineering: Towards Enabling Anyone to Build Resilient Software Systems at Low Cost,"Kikuta, Daisuke and Ikeuchi, Hiroki and Tajiri, Kengo",2025,Proceedings of the 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),10.1109/ASE63991.2025.00331,NLP/LLM,Execution,True
chaosgenai2025,Chaos Engineering Meets Generative AI: Towards Smarter and Safer Fault Injection,"Pandey, Rajesh Kumar and Anand, Amit and Soni, Jubin Abhishek and Pandey, Pushpanjali",2025,2025 International Conference on Intelligent and Secure Engineering Solutions (CISES),10.1109/CISES66934.2025.11265516,NLP/LLM,Execution,True
crfd2025,CRFD: Causal and Interpretable Fault Diagnosis Using Counterfactual Reasoning for Microservices on Multi-source Observability Data,"Tian, Xiangbo and Ying, Shi and Li, Tiangang and Shi, Chuan and Xiao, Ding",2026,ACM Transactions on Software Engineering and Methodology,10.1145/3796706,Causal Inference,Analysis,True
deepsets-rl-ce2025,Chaos Engineering Based Kubernetes Pod Rescheduling Through Deep Sets and Reinforcement Learning,"Zaccarini, Mattia and Poltronieri, Filippo and Borsatti, Davide and Cerroni, Walter and Foschini, Luca and Grabarnik, Genady Ya. and Scotece, Domenico and Shwartz, Larisa and Stefanelli, Cesare and Tortonesi, Mauro",2025,NOMS 2025-2025 IEEE Network Operations and Management Symposium,10.1109/NOMS57970.2025.11073590,Reinforcement Learning,Design,True
devsecops-llm-adversary2026,Anticipating Adversary Behavior in DevSecOps Scenarios through Large Language Models,"Mar\'\in Caballero, Mario and Betancourt Alonso, Miguel and L\'opez, D. D. and Perales G\'omez, Angel Luis and Nespoli, P. and Mart\'\inez P\'erez, Gregorio",2026,arXiv preprint,10.48550/arXiv.2602.14106,NLP/LLM,Design,False
